word,code
fawn,__fan_____
knelt,__nElt____
foul,__fWl_____
hitch,__hItC____
four,__for_____
hath,__h@T_____
sleep,_slip_____
hate,__het_____
whose,__huz_____
swam,_sw@m_____
swan,_swan_____
bike,__bAk_____
swap,_swap_____
lore,__lor_____
lord,__lord____
sped,_spEd_____
pride,_prAd_____
sway,_swe______
whack,__w@k_____
pact,__p@kt____
lure,__lUr_____
lack,__l@k_____
risk,__rIsk____
void,__vOd_____
rise,__rAz_____
lurk,__l^rk____
dell,__dEl_____
vase,__ves_____
shoot,__Sut_____
smack,_sm@k_____
jack,__J@k_____
sleek,_slik_____
wick,__wIk_____
vast,__v@st____
sleet,_slit_____
school,_skul_____
prize,_prAz_____
pinch,__pInC____
zing,__zIng____
math,__m@T_____
wept,__wEpt____
chew,__Cu______
force,__fors____
speck,_spEk_____
nigh,__nA______
pulse,__p^ls____
horn,__horn____
chef,__SEf_____
crave,_krev_____
street,strit_____
quill,_kwIl_____
blue,_blu______
hide,__hAd_____
christ,_krAst____
wreck,__rEk_____
while,__wAl_____
haze,__hez_____
blur,_bl^r_____
new,__nu______
net,__nEt_____
told,__told____
cull,__k^l_____
crunch,_kr^nC____
niche,__nIC_____
crouch,_krWC_____
nicks,__nIks____
herb,___^rb____
men,__mEn_____
drew,_dru______
herd,__h^rd____
beck,__bEk_____
mew,__mY______
pate,__pet_____
cart,__kart____
cult,__k^lt____
path,__p@T_____
shriek,_Srik_____
dork,__dork____
dry,_drA______
sell,__sEl_____
strewn,strun_____
smoke,_smok_____
hunch,__h^nC____
stray,stre______
straw,stra______
stink,_stInk____
strap,str@p_____
brought,_brat_____
sneer,_snir_____
welch,__wElC____
glance,_gl@ns____
plot,_plat_____
plow,_plW______
ore,___or_____
spoke,_spok_____
would,__wUd_____
gloss,_glas_____
plod,_plad_____
call,__kal_____
calm,__kalm____
knoll,__nol_____
strike,strAk_____
type,__tAp_____
tell,__tEl_____
calf,__k@lf____
breathe,_briD_____
mush,__m^S_____
wart,__wort____
bilge,__bIlJ____
muse,__mYz_____
hurt,__h^rt____
grief,_grif_____
glass,_gl@s_____
warm,__worm____
hurl,__h^rl____
muss,__m^s_____
hole,__hol_____
hold,__hold____
pouch,__pWC_____
tweed,_twid_____
must,__m^st____
me,__mi______
rook,__rUk_____
join,__JOn_____
room,__rum_____
err,___Er_____
soils,__sOlz____
blade,_bled_____
worm,__w^rm____
roof,__ruf_____
worth,__w^rT____
vow,__vW______
guise,__gAz_____
root,__rut_____
route,__rut_____
shook,__SUk_____
wand,__wand____
give,__gIv_____
flung,_fl^ng____
want,__want____
fiche,__fiS_____
times,__tAmz____
dyke,__dAk_____
hog,__hag_____
hoe,__ho______
end,___End____
hoc,__hak_____
farce,__fars____
stride,strAd_____
bunk,__b^nk____
how,__hW______
hot,__hat_____
shred,_SrEd_____
bunt,__b^nt____
hop,__hap_____
gate,__get_____
beach,__biC_____
grown,_gron_____
