,0
6,sleep
35,school
41,chew
51,blue
78,dry
81,smoke
84,straw
105,breathe
110,hurt
121,me
124,room
128,worm
139,want
151,hot
161,wrong
168,shirt
176,green
212,one
214,bread
253,hand
276,toy
277,ten
284,toe
291,crawl
296,tree
307,mine
324,snow
333,mouth
338,coin
345,dog
349,aunt
377,rice
378,do
381,stop
390,bad
409,yes
410,best
414,mud
427,here
434,cow
454,speak
461,three
488,air
521,rain
533,the
546,ham
558,hat
570,soap
573,night
596,ice
625,sock
655,fork
657,head
665,hear
676,scream
683,toss
690,face
705,smell
711,why
714,fell
719,phone
726,push
734,ouch
740,chair
746,grape
757,brown
767,cook
776,dig
784,guy
819,slow
826,change
829,boy
831,stair
838,boo
849,red
869,fly
870,car
874,cat
892,chin
898,pink
920,mad
926,man
929,neck
937,talk
939,cute
948,cold
955,thank
969,lunch
972,not
973,bath
977,name
979,drop
981,rock
982,square
991,girl
1021,swing
1032,long
1040,sheep
1045,lap
1046,bite
1050,white
1052,friend
1054,hug
1064,butt
1080,sad
1082,say
1095,zoo
1107,pain
1119,egg
1122,tooth
1138,shoe
1159,black
1167,get
1182,pants
1183,where
1206,come
1228,tub
1229,boat
1268,bowl
1283,fruit
1285,two
1290,no
1297,when
1305,blow
1322,read
1326,dark
1330,mom
1341,nose
1345,clap
1349,doll
1362,knife
1371,throw
1395,your
1414,fish
1435,grass
1480,all
1492,wash
1496,tail
1498,smile
1501,sound
1520,small
1540,sun
1544,milk
1550,full
1573,splash
1576,more
1579,door
1584,stick
1597,nine
1614,dress
1629,plant
1644,coat
1651,help
1676,good
1677,food
1681,foot
1692,house
1704,hill
1710,drink
1712,dirt
1720,ask
1732,top
1733,feed
1747,horse
1789,lie
1791,trip
1795,couch
1798,lip
1806,play
1824,clean
1841,his
1850,him
1855,cry
1869,see
1876,arm
1881,please
1906,mean
1910,bell
1914,sweep
1938,fire
1940,wet
1953,look
1963,fun
1995,stripe
2006,moo
2021,cup
2033,big
2036,game
2060,pet
2066,sick
2070,pee
2072,pea
2079,step
2090,truck
2102,fast
2140,peach
2146,nap
2153,nice
2155,draw
2182,go
2199,spoon
2210,try
2221,jump
2233,bird
2237,leg
2246,sing
2258,win
2263,duck
2265,cloud
2287,train
2307,plate
2324,lamb
2340,farm
2355,sit
2377,lamp
2382,bye
2383,dad
2393,kiss
2418,out
2444,yard
2445,spill
2447,put
2454,scare
2491,bed
2494,light
2503,have
2504,need
2505,turn
2506,she
2522,who
2535,son
2556,bug
2572,bear
2574,bean
2606,key
2617,swim
2621,wall
2623,walk
2624,laugh
2650,snack
2670,ball
2679,off
2697,rest
2707,sky
2709,bench
2715,kick
2733,like
2736,clown
2740,soft
2748,hair
2751,home
2771,pear
2798,brush
2812,bus
2820,ear
2821,eat
2823,count
2827,wish
2832,cake
2834,what
2838,pie
2840,pig
2849,boot
2850,old
2851,book
2857,star
2862,stay
2867,wind
2879,yell
