,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
2635,2881,a,lcnl,4838.0,3.684755622108624,0.29597475442732124,2.8933839999999997,1.21,1.1573535999999998,21811.0,19884.0,23168.0,a,20415.274509803923,4838.0,3.684755622108624,0.29597475442732124,3.9292956404956243,3.9292956404956243
474,533,the,3k,9565.0,3.9807303765359454,0.0,3.983747,2.33,1.5934988,50950.0,48534.0,57939.0,the,29449.176470588234,9565.0,3.9807303765359454,0.0,3.983747,3.983747
971,1072,and,3k,6832.0,3.834611420722687,0.1461189558132583,4.5698820000000016,1.94,1.8279528000000005,17513.0,19697.0,24657.0,and,13387.843137254902,6832.0,3.834611420722687,0.1461189558132583,5.081298345346406,5.081298345346406
3195,5804,to,lcnl,3956.0,3.597366050266028,0.38336432626991757,3.951776,1.39,1.5807103999999998,24061.0,22273.0,24829.0,to,22677.843137254902,3956.0,3.597366050266028,0.38336432626991757,5.293551141944712,5.293551141944712
2845,4069,he,lcnl,2627.0,3.419625360887743,0.5611050156482023,3.8132349999999997,1.41,1.525294,14660.0,13284.0,13114.0,he,7637.196078431372,2627.0,3.419625360887743,0.5611050156482023,5.777102554768708,5.777102554768708
2945,4567,my,lcnl,1152.0,3.061829307294699,0.9189010692412465,2.715564,1.44,1.0862256,4702.0,3178.0,2715.0,my,6762.725490196079,1152.0,3.061829307294699,0.9189010692412465,5.931717742344363,5.931717742344363
2866,4176,in,lcnl,2111.0,3.3246939138617746,0.6560364626741708,3.685351,1.86,1.4741403999999998,10423.0,11031.0,14289.0,in,9773.411764705883,2111.0,3.3246939138617746,0.6560364626741708,5.9814786193595975,5.9814786193595975
2288,2506,she,3k,1446.0,3.1604685311190375,0.8202618454169079,3.5681239999999996,1.39,1.4272496,8129.0,7181.0,6654.0,she,3732.8823529411766,1446.0,3.1604685311190375,0.8202618454169079,6.439040458959177,6.439040458959177
1328,1455,you,3k,2280.0,3.3581252852766488,0.6226050912592966,4.3460849999999995,1.88,1.7384340000000005,15472.0,11867.0,12090.0,you,41857.117647058825,2280.0,3.3581252852766488,0.6226050912592966,6.5252028194075375,6.5252028194075375
3222,5928,up,lcnl,886.0,2.9479236198317262,1.0328067567042192,2.918047,1.68,1.1672188,4654.0,3827.0,3805.0,up,3670.0,886.0,2.9479236198317262,1.0328067567042192,6.532870648464767,6.532870648464767
1677,1841,his,3k,1313.0,3.118595365223762,0.8621350113121835,3.685351,1.29,1.4741403999999998,5402.0,6097.0,6917.0,his,2124.7843137254904,1313.0,3.118595365223762,0.8621350113121835,6.702823539592642,6.702823539592642
2962,4634,of,lcnl,2203.0,3.3432115901797474,0.637518786356198,4.548568000000001,2.36,1.8194272000000005,8779.0,11938.0,17271.0,of,11577.235294117647,2203.0,3.3432115901797474,0.637518786356198,6.779883752246694,6.779883752246694
2964,4638,on,lcnl,1441.0,3.15896526038341,0.8217651161525352,4.005061,1.28,1.6020244,6973.0,6540.0,7316.0,on,6955.725490196079,1441.0,3.15896526038341,0.8217651161525352,6.8812389065338735,6.8812389065338735
2868,4181,it,lcnl,1687.0,3.2273724422896364,0.753357934246309,4.399369999999999,1.95,1.7597479999999999,12605.0,11006.0,11906.0,it,18896.313725490196,1687.0,3.2273724422896364,0.753357934246309,7.0361227698620805,7.0361227698620805
1174,1290,no,3k,534.0,2.7283537820212285,1.252376594514717,2.715564,1.94,1.0862256,2612.0,2188.0,2165.0,#N/A,#N/A,534.0,2.7283537820212285,1.252376594514717,7.098882080801509,7.098882080801509
109,121,me,3k,757.0,2.8796692056320534,1.101061170903892,3.280385,1.5,1.312154,4027.0,2813.0,2606.0,me,9241.941176470587,757.0,2.8796692056320534,1.101061170903892,7.134099098163622,7.134099098163622
191,212,one,3k,682.0,2.8344207036815328,1.1463096728544127,3.2271,1.31,1.29084,3476.0,3331.0,3711.0,one,3072.235294117647,682.0,2.8344207036815328,1.1463096728544127,7.239183854990444,7.239183854990444
2208,2418,out,3k,694.0,2.8419848045901137,1.1387455719458317,3.280385,1.56,1.312154,3825.0,3455.0,3520.0,out,3865.3137254901962,694.0,2.8419848045901137,1.1387455719458317,7.265994501810411,7.265994501810411
