,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3
4420,3k,mom,67.0,4.204692618999999,5.412661855,2.22,1.22,0.8880000000000001,725.0,375.0,184.0
8541,3k,yes,103.0,4.634728988,4.943490285,2.310598,1.68,0.9242392,1002.0,601.0,456.0
4752,3k,ouch,3.0,1.098612289,8.80140916,2.417168,1.34,0.9668672,14.0,6.0,4.0
8234,3k,wet,37.0,3.610917913,6.060472672,2.47,1.35,0.9880000000000001,218.0,127.0,106.0
6816,3k,spoon,14.0,2.63905733,7.120776844,2.5,0.79,1.0,19.0,12.0,12.0
4553,3k,nap,23.0,3.135494216,6.579162017000001,2.53,0.77,1.012,54.0,22.0,8.0
1593,3k,dad,49.0,3.8918202980000003,5.7540069339999995,2.58,1.17,1.032,731.0,292.0,173.0
3396,3k,hug,45.0,3.80666249,5.846914477,2.58,0.96,1.032,48.0,23.0,9.0
6189,3k,shoe,37.0,3.610917913,6.060472672,2.6,1.19,1.04,45.0,34.0,27.0
1372,3k,count,17.0,2.833213344,6.908951778,2.61,0.98,1.044,92.0,57.0,57.0
4636,3k,no,534.0,6.280395839,3.148060511,2.715564,1.94,1.0862256000000001,2612.0,2188.0,2165.0
4534,lcnl,my,1152.0,7.049254841000001,2.3092319569999997,2.715564,1.44,1.0862256000000001,4702.0,3178.0,2715.0
3107,3k,hand,65.0,4.17438727,5.445725124,2.74,1.24,1.096,434.0,501.0,519.0
6544,3k,snack,13.0,2.5649493569999997,7.201628967,2.78,1.22,1.1119999999999999,13.0,13.0,6.0
2026,3k,eat,150.0,5.010635294,4.5333748510000005,2.78,1.48,1.1119999999999999,1051.0,585.0,499.0
1530,3k,cry,44.0,3.7841896339999996,5.8714324620000005,2.78,1.66,1.1119999999999999,187.0,147.0,89.0
6409,3k,sleep,113.0,4.727387819,4.842399093,2.79,1.03,1.116,477.0,288.0,213.0
128,3k,bad,78.0,4.356708827,5.246811504,2.79,1.27,1.116,421.0,301.0,236.0
0,cdi,I,,,,2.7901629999999997,1.26,1.1160652,,,
1786,3k,dog,211.0,5.351858133,4.161099232,2.8,1.2,1.1199999999999999,1241.0,566.0,397.0
3627,3k,jump,31.0,3.4339872039999997,6.253504853,2.84,1.3,1.136,406.0,110.0,71.0
264,3k,bed,165.0,5.105945473999999,4.429391026,2.89,1.41,1.1560000000000001,675.0,405.0,316.0
87,3k,ask,65.0,4.17438727,5.445725124,2.89,1.37,1.1560000000000001,339.0,309.0,266.0
7079,3k,stop,114.0,4.736198448000001,4.832786657,2.89,1.6,1.1560000000000001,800.0,408.0,348.0
330,3k,big,383.0,5.948034989,3.51066766,2.89,1.08,1.1560000000000001,2826.0,1342.0,969.0
2,lcnl,a,4838.0,8.484256691,0.743638626,2.8933839999999993,1.21,1.1573535999999998,21811.0,19884.0,23168.0
156,3k,ball,70.0,4.248495242,5.364873001,2.9,1.22,1.16,587.0,304.0,248.0
7954,lcnl,up,886.0,6.786716951,2.59566195,2.918047,1.68,1.1672188000000001,4654.0,3827.0,3805.0
6632,3k,sock,2.0,0.693147181,9.243773377,2.94,1.39,1.176,13.0,13.0,3.0
4663,3k,nose,84.0,4.430816799,5.16595938,2.95,1.15,1.1800000000000002,181.0,123.0,123.0
