,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
4420,3k,mom,67,2.22,1.22,725,375,184
8541,3k,yes,103,2.310598,1.68,1002,601,456
4752,3k,ouch,3,2.417168,1.34,14,6,4
8234,3k,wet,37,2.47,1.35,218,127,106
6816,3k,spoon,14,2.5,0.79,19,12,12
4553,3k,nap,23,2.53,0.77,54,22,8
1593,3k,dad,49,2.58,1.17,731,292,173
3396,3k,hug,45,2.58,0.96,48,23,9
6189,3k,shoe,37,2.6,1.19,45,34,27
1372,3k,count,17,2.61,0.98,92,57,57
4534,lcnl,my,1152,2.715564,1.44,4702,3178,2715
4636,3k,no,534,2.715564,1.94,2612,2188,2165
3107,3k,hand,65,2.74,1.24,434,501,519
1530,3k,cry,44,2.78,1.66,187,147,89
2026,3k,eat,150,2.78,1.48,1051,585,499
6544,3k,snack,13,2.78,1.22,13,13,6
128,3k,bad,78,2.79,1.27,421,301,236
6409,3k,sleep,113,2.79,1.03,477,288,213
0,cdi,I,,2.790163,1.26,,,
1786,3k,dog,211,2.8,1.2,1241,566,397
3627,3k,jump,31,2.84,1.3,406,110,71
87,3k,ask,65,2.89,1.37,339,309,266
264,3k,bed,165,2.89,1.41,675,405,316
330,3k,big,383,2.89,1.08,2826,1342,969
7079,3k,stop,114,2.89,1.6,800,408,348
2,lcnl,a,4838,2.893384,1.21,21811,19884,23168
156,3k,ball,70,2.9,1.22,587,304,248
7954,lcnl,up,886,2.918047,1.68,4654,3827,3805
6632,3k,sock,2,2.94,1.39,13,13,3
4663,3k,nose,84,2.95,1.15,181,123,123
3936,3k,leg,25,3,1.5,118,114,83
4579,3k,neck,19,3,1.25,65,87,85
7664,3k,toe,13,3,1.08,7,13,12
7739,3k,toy,45,3,1.15,105,48,27
1812,3k,door,155,3.05,1.15,818,782,668
2413,3k,fly,85,3.05,1.18,396,182,110
6015,3k,see,382,3.06,1.43,3548,2167,2099
1228,lcnl,clothes,50,3.11,1.41,155,192,179
4223,3k,man,185,3.11,1.24,1981,1314,977
3839,3k,lap,6,3.15,1.18,23,39,29
3375,3k,house,310,3.16,1.07,1821,1217,1032
2690,3k,get,331,3.17,1.29,3482,2259,1973
3090,3k,hair,68,3.17,1.76,214,246,228
6623,3k,soap,10,3.17,1.1,35,25,24
5654,3k,rock,49,3.22,1.17,287,163,140
6502,3k,small,126,3.22,1.52,452,546,623
4625,3k,nine,38,3.2271,1.3,53,60,57
4736,3k,one,682,3.2271,1.31,3476,3331,3711
4817,3k,pants,17,3.2271,1.75,54,29,27
222,3k,bath,32,3.23,1.56,26,31,24
5774,3k,sad,60,3.24,2.21,274,147,84
2249,3k,fire,74,3.25,1.16,290,394,318
2441,3k,food,69,3.25,1.21,454,529,663
75,3k,arm,13,3.26,1.56,180,189,161
850,3k,cake,50,3.26,2.28,259,68,40
1920,3k,drop,7,3.26,1.33,63,59,47
