,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
3,2,lcnl,a,4838,8.484256691,0.743638626,2.893384,1.21,1.1573536,21811,19884,23168,TRUE,TRUE,TRUE,1.529172913
1,7485,3k,the,9565,9.165865882,0,3.983747,2.33,1.5934988,50950,48534,57939,TRUE,TRUE,TRUE,1.5934988
4,54,3k,and,6832,8.829372735,0.367115503,4.569882,1.94,1.8279528,17513,19697,24657,TRUE,TRUE,TRUE,2.011510552
5,7657,lcnl,to,3956,8.282988693,0.963222897,3.951776,1.39,1.5807104,24061,22273,24829,TRUE,TRUE,TRUE,2.062321849
6,3166,lcnl,he,2627,7.87359779,1.409870174,3.813235,1.41,1.525294,14660,13284,13114,TRUE,TRUE,TRUE,2.230229087
11,4534,lcnl,my,1152,7.049254841,2.309231957,2.715564,1.44,1.0862256,4702,3178,2715,TRUE,TRUE,TRUE,2.240841579
8,3468,lcnl,in,2111,7.654917048,1.648451825,3.685351,1.86,1.4741404,10423,11031,14289,TRUE,TRUE,TRUE,2.298366313
14,6113,3k,she,1446,7.276556403,2.061244953,3.568124,1.39,1.4272496,8129,7181,6654,TRUE,TRUE,TRUE,2.457872077
21,7954,lcnl,up,886,6.786716951,2.59566195,2.918047,1.68,1.1672188,4654,3827,3805,TRUE,TRUE,TRUE,2.465049775
9,8565,3k,you,2280,7.731930722,1.564429568,4.346085,1.88,1.738434,15472,11867,12090,TRUE,TRUE,TRUE,2.520648784
15,3276,3k,his,1313,7.180069874,2.16651218,3.685351,1.29,1.4741404,5402,6097,6917,TRUE,TRUE,TRUE,2.55739649
13,4719,lcnl,of,2203,7.697575347,1.601911433,4.548568,2.36,1.8194272,8779,11938,17271,TRUE,TRUE,TRUE,2.620382917
17,4734,lcnl,on,1441,7.273092596,2.065023982,4.005061,1.28,1.6020244,6973,6540,7316,TRUE,TRUE,TRUE,2.634536391
36,4636,3k,no,534,6.280395839,3.148060511,2.715564,1.94,1.0862256,2612,2188,2165,TRUE,TRUE,TRUE,2.660255856
26,4290,3k,me,757,6.629363253,2.767335526,3.280385,1.5,1.312154,4027,2813,2606,TRUE,TRUE,TRUE,2.695821763
16,3484,lcnl,it,1687,7.430707083,1.893065883,4.39937,1.95,1.759748,12605,11006,11906,TRUE,TRUE,TRUE,2.706280942
30,4736,3k,one,682,6.525029658,2.881163938,3.2271,1.31,1.29084,3476,3331,3711,TRUE,TRUE,TRUE,2.731421969
31,4758,3k,out,694,6.542471961,2.862134309,3.280385,1.56,1.312154,3825,3455,3520,TRUE,TRUE,TRUE,2.743221154
38,1770,3k,do,693,6.541029999,2.863707495,3.6,1.6,1.44,4560,3284,3113,TRUE,TRUE,TRUE,2.871853748
24,45,3k,all,1080,6.98471632,2.379643767,4.239515,1.4,1.695806,3931,3788,3965,TRUE,TRUE,TRUE,2.885627883
34,4668,3k,not,830,6.721425701,2.666894991,3.887834,2.22,1.5551336,5662,3814,4116,TRUE,TRUE,TRUE,2.888581096
23,2451,3k,for,1177,7.070724107,2.285808893,4.388713,1.97,1.7554852,5851,5615,6423,TRUE,TRUE,TRUE,2.898389647
48,2808,3k,go,547,6.304448802,3.121818622,3.37,1.46,1.348,3313,2054,1710,TRUE,TRUE,TRUE,2.908909311
57,330,3k,big,383,5.948034989,3.51066766,2.89,1.08,1.156,2826,1342,969,TRUE,TRUE,TRUE,2.91133383
50,3263,3k,him,555,6.318968114,3.105977989,3.429583,1.21,1.3718332,2780,2891,3176,TRUE,TRUE,TRUE,2.924822195
28,8382,3k,with,1127,7.027314514,2.33316895,4.441998,1.59,1.7767992,4181,4111,5084,TRUE,TRUE,TRUE,2.943383675
47,3154,3k,have,638,6.458338283,2.953924521,3.72,1.96,1.488,4736,3798,4251,TRUE,TRUE,TRUE,2.964962261
42,93,lcnl,at,799,6.683360946,2.708423806,4.037032,1.37,1.6148128,5635,5090,5491,TRUE,TRUE,TRUE,2.969024703
59,6015,3k,see,382,5.945420609,3.513519961,3.06,1.43,1.224,3548,2167,2099,TRUE,TRUE,TRUE,2.980759981
45,8246,3k,what,679,6.520621128,2.885973664,3.855863,1.37,1.5423452,4928,3885,3879,TRUE,TRUE,TRUE,2.985332032
51,3983,3k,like,572,6.349138991,3.073061429,3.685351,1.89,1.4741404,3487,2649,2660,TRUE,TRUE,TRUE,3.010671114
33,817,3k,but,1097,7.00033446,2.362604308,4.601853,2.45,1.8407412,5172,4711,5113,TRUE,TRUE,TRUE,3.022043354
