word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale
the,9565,9.165865882,0
and,6832,8.829372735,0.367115503
a,4838,8.484256691,0.743638626
to,3956,8.282988693,0.963222897
i,3049,8.022568947,1.247341986
he,2627,7.87359779,1.409870174
you,2280,7.731930722,1.564429568
of,2203,7.697575347,1.601911433
in,2111,7.654917048,1.648451825
was,1840,7.517520851,1.798351681
it,1687,7.430707083,1.893065883
said,1521,7.327123292,2.006076254
she,1446,7.276556403,2.061244953
on,1441,7.273092596,2.065023982
that,1383,7.232010332,2.109844913
is,1359,7.214504414,2.128943946
his,1313,7.180069874,2.16651218
for,1177,7.070724107,2.285808893
my,1152,7.049254841,2.309231957
with,1127,7.027314514,2.33316895
but,1097,7.00033446,2.362604308
all,1080,6.98471632,2.379643767
they,1078,6.982862751,2.381666019
her,1026,6.933423026,2.435604977
little,935,6.840546529,2.536933643
so,892,6.793466133,2.588298563
up,886,6.786716951,2.59566195
as,844,6.738152495,2.648645986
not,830,6.721425701,2.666894991
at,799,6.683360946,2.708423806
me,757,6.629363253,2.767335526
out,694,6.542471961,2.862134309
do,693,6.541029999,2.863707495
there,693,6.541029999,2.863707495
had,689,6.535241271,2.870023023
one,682,6.525029658,2.881163938
what,679,6.520621128,2.885973664
when,675,6.514712691,2.892419794
be,674,6.513230111,2.894037296
then,673,6.51174533,2.895657199
have,638,6.458338283,2.953924521
are,626,6.439350371,2.974640417
we,610,6.413458957,3.002888063
like,572,6.349138991,3.073061429
him,555,6.318968114,3.105977989
go,547,6.304448802,3.121818622
this,538,6.28785856,3.139918649
no,534,6.280395839,3.148060511
down,522,6.257667588,3.172857133
your,510,6.234410726,3.198230472
can,507,6.228511004,3.204667094
will,485,6.184148891,3.253066354
if,468,6.148468296,3.291994041
them,458,6.126869184,3.315558767
could,452,6.11368218,3.329945846
just,448,6.104793232,3.339643727
were,445,6.098074282,3.346974131
into,425,6.052089169,3.397144092
very,423,6.047372179,3.402290349
time,417,6.033086222,3.417876391
back,406,6.00635316,3.447042279
now,405,6.003887067,3.449732797
would,396,5.981414211,3.474250782
big,383,5.948034989,3.51066766
see,382,5.945420609,3.513519961
day,376,5.929589143,3.530792159
went,374,5.924255797,3.536610863
from,370,5.913503006,3.548342206
good,366,5.902633333,3.560201066
oh,351,5.860786223,3.605856447
who,337,5.82008293,3.650263919
get,331,5.802118375,3.669863328
about,329,5.796057751,3.676475496
old,326,5.786897381,3.686469499
their,324,5.780743516,3.693183393
came,323,5.777652323,3.696555898
over,317,5.758901774,3.71701283
some,316,5.755742214,3.720459924
too,313,5.746203191,3.73086704
by,312,5.743003188,3.734358257
or,311,5.739792912,3.737860682
house,310,5.736572297,3.741374387
i'm,309,5.733341277,3.744899445
where,309,5.733341277,3.744899445
jenny,305,5.720311777,3.759114687
mr,295,5.686975356,3.795484868
it's,293,5.680172609,3.802906695
how,292,5.676753802,3.806636628
mother,292,5.676753802,3.806636628
come,287,5.659482216,3.825480005
here,282,5.641907071,3.844654565
did,280,5.634789603,3.852419754
an,275,5.616771098,3.872078023
night,274,5.613128106,3.876052542
home,268,5.590986981,3.900208608
think,265,5.579729826,3.912490213
more,260,5.560681631,3.933271878
away,257,5.549076085,3.94593358
don't,257,5.549076085,3.94593358
know,257,5.549076085,3.94593358
right,257,5.549076085,3.94593358
got,256,5.545177444,3.950187013
way,247,5.509388337,3.989233088
cat,245,5.501258211,3.998103091
two,236,5.463831805,4.038935464
thought,234,5.455321115,4.048220664
make,233,5.451038454,4.052893067
long,229,5.433722004,4.07178539
i'll,228,5.429345629,4.076560034
off,225,5.416100402,4.091010634
again,223,5.407171771,4.10075181
look,223,5.407171771,4.10075181
well,222,5.402677382,4.105655209
looked,219,5.38907173,4.120499035
going,216,5.375278408,4.13554761
love,215,5.370638028,4.140610285
am,214,5.365976015,4.145696561
never,214,5.365976015,4.145696561
say,212,5.356586275,4.155940809
through,212,5.356586275,4.155940809
dog,211,5.351858133,4.161099232
our,209,5.342334252,4.171489829
put,206,5.327876169,4.187263661
