,,word
lcnl,1486,FALSE
cdi,334,I
lcnl,5614,TRUE
lcnl,0,a
unl,660,ab
unl,2062,abe
3k,1373,ace
3k,2081,ache
lcnl,3,ached
lcnl,4,aches
3k,2342,act
lcnl,6,acts
lcnl,7,ad
3k,2710,add
lcnl,9,adds
3k,2711,ade
lcnl,11,ads
unl,93,adz
unl,388,adze
3k,2334,aft
3k,2168,age
unl,2130,aged
lcnl,14,ages
unl,1058,ah
unl,1055,ahs
3k,495,aid
3k,231,aide
lcnl,17,aides
lcnl,18,aids
3k,490,ail
lcnl,20,ailed
lcnl,21,ails
3k,489,aim
lcnl,23,aimed
lcnl,24,aims
3k,488,air
unl,1269,aired
lcnl,26,airs
3k,256,aisle
lcnl,28,aisles
unl,1140,aix
unl,542,al
unl,309,alb
3k,1485,ale
lcnl,30,ales
unl,545,alf
3k,1480,all
lcnl,32,alms
lcnl,33,alp
3k,1640,alps
lcnl,35,am
unl,1903,ames
lcnl,36,amp
unl,358,amps
lcnl,37,an
3k,1072,and
unl,1004,ands
3k,1118,angst
unl,899,ann
unl,156,anne
3k,1081,ant
lcnl,41,ants
3k,2266,ape
unl,1935,aped
lcnl,43,apes
unl,881,apse
3k,2260,apt
3k,1870,arc
unl,1521,arced
3k,167,arch
unl,1389,arched
lcnl,47,arcs
3k,2498,are
lcnl,49,ark
lcnl,50,arks
unl,1332,arles
3k,1876,arm
unl,1452,armed
unl,1486,armes
lcnl,52,arms
unl,1374,arp
lcnl,53,arse
3k,1862,art
unl,1348,artes
lcnl,55,arts
lcnl,56,as
3k,1722,ash
unl,605,ashe
3k,1720,ask
lcnl,59,asked
lcnl,60,asks
lcnl,61,asp
lcnl,62,asps
3k,1523,ass
lcnl,64,at
3k,257,ate
unl,1639,au
lcnl,66,aught
unl,1588,auk
unl,1620,auks
unl,1590,auld
3k,349,aunt
lcnl,68,aunts
lcnl,69,awe
unl,1698,awed
unl,1738,awes
unl,1697,awk
lcnl,70,awl
lcnl,71,awls
3k,2523,awn
lcnl,73,ax
3k,1125,axe
unl,891,axed
lcnl,75,axes
unl,1802,ay
lcnl,76,aye
unl,1787,ayes
unl,1854,ayres
unl,5,b
unl,25,ba
unl,45,bab
3k,2282,babe
lcnl,78,babes
unl,448,babs
unl,207,bach
unl,498,bachs
3k,2050,back
unl,663,backed
unl,51,backs
3k,390,bad
3k,1123,bade
3k,1854,badge
3k,389,bag
unl,128,bagged
lcnl,84,bags
unl,1064,bah
3k,363,bail
unl,1147,bailed
lcnl,86,bails
unl,1212,bain
unl,1142,baines
unl,1289,baird
unl,1284,bairn
unl,1280,bairns
3k,1088,bait
lcnl,88,baits
unl,1173,baize
lcnl,89,bake
lcnl,90,baked
3k,2876,bakes
unl,851,bal
3k,2674,bald
3k,2673,bale
lcnl,94,bales
lcnl,95,balk
lcnl,96,balked
lcnl,97,balks
3k,2670,ball
lcnl,99,balls
lcnl,100,balm
lcnl,101,balms
unl,419,bam
3k,394,ban
3k,209,band
lcnl,104,bands
lcnl,105,bane
3k,210,bang
lcnl,107,banged
lcnl,108,bangs
3k,213,bank
unl,754,banked
lcnl,110,banks
unl,516,banned
unl,796,banns
unl,125,bans
unl,791,bant
unl,261,bap
3k,386,bar
lcnl,112,barb
unl,1465,barbed
lcnl,113,barbs
3k,1872,bard
lcnl,115,bards
3k,2495,bare
unl,1542,bared
unl,1552,bares
3k,561,barge
unl,1490,barged
3k,1875,bark
lcnl,119,barked
lcnl,120,barks
3k,2519,barn
unl,1411,barnes
lcnl,122,barns
unl,1381,barque
unl,1419,barques
unl,818,barr
3k,1235,barre
unl,839,barred
lcnl,124,bars
unl,1523,bart
unl,1528,barth
3k,387,bas
3k,1717,base
lcnl,127,based
lcnl,128,bases
3k,1724,bash
lcnl,130,bashed
lcnl,131,bask
lcnl,132,basked
lcnl,133,basks
unl,801,basle
unl,236,basque
unl,426,basques
3k,1711,bass
unl,804,bast
lcnl,135,baste
lcnl,136,bastes
3k,385,bat
3k,1957,batch
unl,921,batched
lcnl,139,bate
unl,2072,bates
3k,973,bath
3k,1255,bathe
lcnl,142,bathed
lcnl,143,bathes
lcnl,144,baths
lcnl,145,bats
unl,1621,baud
lcnl,146,bawl
lcnl,147,bawled
unl,1722,bawls
3k,388,bay
unl,1789,bayed
unl,1834,bayes
unl,1831,baynes
lcnl,149,bays
lcnl,150,be
unl,2819,bea
3k,156,beach
unl,3000,beached
3k,2576,bead
lcnl,153,beads
3k,2575,beak
unl,2879,beaked
lcnl,155,beaks
unl,2970,beale
3k,930,beam
unl,2792,beamed
lcnl,157,beams
3k,2574,bean
lcnl,159,beans
3k,2572,bear
3k,2476,beard
lcnl,162,beards
lcnl,163,bears
3k,2675,beast
lcnl,165,beasts
3k,904,beat
lcnl,167,beats
3k,2569,beau
unl,3142,beaux
3k,70,beck
lcnl,170,becks
3k,2491,bed
unl,3733,bede
lcnl,172,beds
3k,2492,bee
3k,667,beech
3k,457,beef
lcnl,176,beefs
3k,460,beek
3k,462,been
3k,463,beep
unl,3371,beeped
lcnl,179,beeps
3k,464,beer
lcnl,181,beers
lcnl,182,bees
3k,466,beet
lcnl,184,beets
3k,2490,beg
lcnl,186,begged
lcnl,187,begs
3k,2790,beige
unl,2366,bel
3k,2387,belch
unl,2241,belched
3k,1910,bell
3k,510,belle
lcnl,192,belles
lcnl,193,bells
3k,1917,belt
lcnl,195,belts
lcnl,196,ben
3k,2709,bench
unl,2501,benched
3k,2316,bend
lcnl,199,bends
unl,2299,benn
3k,2305,bent
unl,2695,bents
unl,2631,benz
lcnl,201,berg
unl,3564,bergs
unl,3517,bern
unl,3549,berne
unl,3536,bert
3k,1592,berth
unl,3550,berthed
lcnl,203,berths
unl,2340,bess
3k,410,best
3k,2497,bet
unl,2541,beth
lcnl,206,bets
unl,2368,bette
unl,2563,bev
lcnl,207,bey
3k,2035,bib
unl,4513,bibb
lcnl,209,bibs
unl,4061,bic
3k,2034,bid
3k,677,bide
lcnl,212,bids
unl,2281,bien
lcnl,213,bier
lcnl,214,biff
unl,3816,biffed
3k,2033,big
unl,3768,biggs
3k,11,bike
unl,5067,biked
lcnl,217,bikes
3k,1950,bile
3k,108,bilge
lcnl,220,bilk
lcnl,221,bilked
lcnl,222,bilks
3k,1956,bill
unl,4274,billed
lcnl,224,bills
3k,2029,bin
3k,2353,bind
lcnl,227,binds
3k,2354,bing
3k,459,binge
lcnl,230,bins
3k,1996,birch
3k,2233,bird
lcnl,233,birds
unl,4829,birt
3k,206,birth
lcnl,235,births
lcnl,236,bisque
3k,2039,bit
3k,2461,bitch
lcnl,239,bitched
3k,1046,bite
lcnl,241,bites
lcnl,242,bits
unl,3925,bix
lcnl,243,biz
unl,6418,bjorn
lcnl,244,blab
lcnl,245,blabbed
lcnl,246,blabs
3k,1159,black
unl,265,blacked
unl,15,blacks
3k,127,blade
lcnl,249,blades
lcnl,250,blah
unl,1198,blaine
unl,1293,blair
unl,1264,blairs
unl,2045,blake
unl,1912,blakes
3k,1201,blame
lcnl,252,blamed
lcnl,253,blames
3k,1991,blanch
unl,286,blanche
lcnl,255,blanched
3k,1743,bland
3k,1742,blank
unl,939,blanked
unl,399,blanks
lcnl,258,blare
lcnl,259,blared
lcnl,260,blares
unl,416,blass
3k,769,blast
lcnl,262,blasts
3k,2190,blaze
lcnl,264,blazed
lcnl,265,blazes
lcnl,266,bleach
lcnl,267,bleached
3k,1639,bleak
3k,1628,bleat
lcnl,270,bleats
3k,404,bled
3k,2442,bleed
lcnl,273,bleeds
3k,2401,bleep
lcnl,275,bleeps
unl,2699,blench
unl,2420,blenched
3k,1827,blend
lcnl,277,blends
3k,1684,bless
lcnl,279,blessed
3k,1686,blest
3k,399,blew
3k,1679,blight
lcnl,283,blights
3k,439,blimp
lcnl,285,blimps
3k,1027,blind
unl,4306,blinds
3k,1031,blink
lcnl,288,blinked
lcnl,289,blinks
lcnl,290,blip
lcnl,291,blips
3k,374,bliss
3k,618,blithe
3k,2219,blitz
unl,4166,blitzed
3k,2488,bloat
lcnl,296,bloats
3k,1313,blob
unl,5430,blobbed
lcnl,298,blobs
3k,1312,bloc
3k,2095,block
unl,5286,blocked
lcnl,301,blocks
lcnl,302,blocs
3k,814,bloke
lcnl,304,blokes
3k,1785,blond
lcnl,306,blonde
unl,5650,blondes
unl,5627,blonds
3k,1634,blood
lcnl,308,bloods
3k,1637,bloom
lcnl,310,bloomed
lcnl,311,blooms
3k,1895,blot
lcnl,313,blotch
unl,5271,blotched
lcnl,314,blots
unl,6534,blount
3k,330,blouse
3k,1305,blow
unl,6815,blowed
3k,2456,blown
lcnl,318,blows
unl,7250,blub
3k,51,blue
lcnl,320,blues
3k,2347,bluff
lcnl,322,bluffs
unl,7664,blum
3k,1101,blunt
unl,7755,blunts
3k,57,blur
lcnl,325,blurb
lcnl,326,blurred
lcnl,327,blurs
lcnl,328,blurt
lcnl,329,blurts
3k,1730,blush
lcnl,331,blushed
unl,8069,blyth
unl,8108,blythe
unl,5223,bo
3k,1224,boar
3k,556,board
lcnl,334,boards
lcnl,335,boars
3k,832,boast
lcnl,337,boasts
3k,1229,boat
lcnl,339,boats
3k,840,bob
lcnl,341,bobbed
lcnl,342,bobs
lcnl,343,bock
lcnl,344,bocks
lcnl,345,bod
lcnl,346,bode
unl,7140,bodes
unl,5961,boer
unl,5960,boers
3k,841,bog
unl,5641,bogged
unl,5352,bogs
unl,5963,bohr
3k,2475,boil
lcnl,349,boiled
lcnl,350,boils
unl,6021,boing
unl,6018,bois
3k,603,bold
unl,7072,bole
unl,5514,boll
3k,610,bolt
lcnl,353,bolts
3k,354,bomb
unl,5189,bombed
lcnl,355,bombs
unl,5574,bon
3k,226,bond
lcnl,357,bonds
3k,225,bone
unl,7131,boned
lcnl,359,bones
3k,223,bong
unl,5742,bongs
unl,5505,bonn
3k,838,boo
unl,6128,boob
unl,6089,boobs
unl,6146,booed
3k,2851,book
unl,6213,booked
lcnl,363,books
3k,2852,boom
unl,6163,boomed
lcnl,365,booms
3k,2718,boon
unl,6243,boone
lcnl,367,boons
unl,6305,boor
lcnl,368,boos
3k,809,boost
lcnl,370,boosts
3k,2849,boot
3k,2225,booth
lcnl,373,booths
lcnl,374,boots
3k,2208,booze
3k,833,bop
unl,5261,bopped
3k,588,bore
lcnl,378,bored
lcnl,379,bores
unl,6402,borg
unl,6423,bork
3k,583,born
3k,237,borne
unl,5478,bosch
3k,425,boss
unl,5256,bossed
lcnl,383,botch
unl,5751,botched
3k,1897,both
3k,2512,bough
lcnl,386,boughs
3k,2598,bought
3k,2051,bounce
lcnl,389,bounced
3k,628,bound
unl,6569,bounds
unl,6727,bourne
unl,6731,bourse
3k,1671,bout
lcnl,392,bouts
3k,835,bow
unl,6774,bowed
3k,1268,bowl
unl,6741,bowled
unl,6854,bowles
lcnl,395,bowls
lcnl,396,bows
3k,828,box
unl,5321,boxed
3k,829,boy
unl,6905,boyce
unl,6904,boyd
unl,6893,boyle
unl,6901,boyles
lcnl,399,boys
lcnl,400,bra
3k,1802,brace
unl,1986,braced
unl,427,bracts
3k,443,brad
lcnl,403,brads
3k,441,brag
unl,101,bragg
lcnl,405,bragged
lcnl,406,brags
unl,1065,brahms
3k,949,braid
lcnl,408,braids
3k,2089,braille
3k,944,brain
unl,1078,brained
lcnl,411,brains
lcnl,412,braise
unl,1233,braised
3k,503,brake
unl,2089,braked
lcnl,414,brakes
unl,765,bram
3k,444,bran
3k,2115,branch
unl,1008,branched
3k,2520,brand
lcnl,418,brands
unl,279,brandt
unl,962,brant
unl,640,braque
unl,202,bras
3k,1458,brash
3k,1466,brass
3k,435,brat
lcnl,422,brats
unl,1594,braun
3k,790,brave
unl,2038,braved
unl,1875,braves
unl,1767,braw
3k,807,brawl
unl,1765,brawled
lcnl,425,brawls
3k,607,brawn
lcnl,427,bray
lcnl,428,brayed
lcnl,429,brays
lcnl,430,braze
3k,2191,breach
unl,3024,breached
3k,214,bread
lcnl,433,breads
3k,727,breadth
lcnl,435,breadths
3k,208,break
unl,2998,breaks
unl,2824,bream
3k,1846,breast
lcnl,438,breasts
3k,1234,breath
3k,105,breathe
unl,2875,breathed
unl,2990,breathes
lcnl,441,breaths
unl,2577,brecht
3k,2529,bred
lcnl,443,breech
unl,3146,breeched
3k,1047,breed
lcnl,445,breeds
3k,1291,breeze
unl,3196,breezed
unl,2692,brent
unl,2430,bret
unl,2316,brett
3k,2532,brew
unl,3620,brewed
lcnl,448,brews
3k,1461,bribe
lcnl,450,bribed
lcnl,451,bribes
unl,5152,brice
3k,1931,brick
unl,4038,bricked
lcnl,453,bricks
3k,1775,bride
lcnl,455,brides
3k,301,bridge
unl,4200,bridged
unl,4706,brie
3k,1543,brief
unl,4674,briefed
lcnl,458,briefs
3k,1663,brig
unl,4017,briggs
3k,1136,bright
lcnl,461,brigs
lcnl,462,brill
3k,1659,brim
unl,3920,brimmed
lcnl,464,brims
lcnl,465,brine
unl,4963,brines
3k,2541,bring
lcnl,467,brings
3k,2545,brink
lcnl,469,brinks
3k,1581,brisk
unl,4605,brit
3k,2593,broach
lcnl,472,broached
3k,2173,broad
unl,5865,broads
unl,5461,brock
lcnl,474,brogue
3k,1203,broil
lcnl,476,broiled
lcnl,477,broils
3k,1585,broke
lcnl,479,bronx
3k,1896,bronze
unl,5294,bronzed
lcnl,481,bronzes
3k,2239,brooch
lcnl,483,brooches
3k,2371,brood
lcnl,485,broods
3k,2376,brook
unl,6168,brooke
unl,6259,brooked
unl,6277,brookes
lcnl,487,brooks
3k,2374,broom
unl,6103,broome
lcnl,489,brooms
3k,499,broth
lcnl,491,broths
3k,87,brought
