,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3
0,fawn,3k,#N/A,#N/A,#N/A,8.4,3.35,3.3600000000000003,0.0,4.0,5.0
1,knelt,3k,1.0,0.0,10.0,#N/A,#N/A,#N/A,0.0,8.0,7.0
2,foul,3k,1.0,0.0,10.0,7.75,2.15,3.1,3.0,2.0,4.0
3,hitch,3k,4.0,1.386294361,8.487546753,9.39,4.39,3.7560000000000002,3.0,1.0,2.0
4,four,3k,81.0,4.394449155,5.20563664,4.93222,2.48,1.972888,222.0,249.0,293.0
5,hath,3k,2.0,0.693147181,9.243773377,#N/A,#N/A,#N/A,0.0,0.0,0.0
6,sleep,3k,113.0,4.727387819,4.842399093,2.79,1.03,1.116,477.0,288.0,213.0
7,hate,3k,17.0,2.833213344,6.908951778,5.53,2.06,2.212,85.0,60.0,47.0
8,whose,3k,27.0,3.295836866,6.40422748,#N/A,#N/A,#N/A,9.0,22.0,39.0
9,swam,3k,12.0,2.48490665,7.288955913,#N/A,#N/A,#N/A,43.0,37.0,20.0
10,swan,3k,14.0,2.63905733,7.120776844,6.317630000000001,2.05,2.5270520000000003,13.0,3.0,5.0
11,bike,3k,33.0,3.496507561,6.185294868,4.79,1.65,1.916,173.0,87.0,59.0
12,swap,3k,9.0,2.197224577,7.60281832,7.53,3.36,3.012,15.0,4.0,5.0
13,lore,3k,#N/A,#N/A,#N/A,12.56,3.97,5.024,#N/A,#N/A,#N/A
14,lord,3k,13.0,2.5649493569999997,7.201628967,5.95,2.04,2.38,20.0,20.0,30.0
15,sped,3k,8.0,2.079441542,7.73132013,#N/A,#N/A,#N/A,1.0,3.0,3.0
16,pride,3k,1.0,0.0,10.0,8.95,3.52,3.5799999999999996,0.0,3.0,13.0
17,sway,3k,1.0,0.0,10.0,9.58,2.34,3.832,0.0,1.0,1.0
18,whack,3k,4.0,1.386294361,8.487546753,6.16,3.48,2.464,#N/A,#N/A,#N/A
19,pact,3k,#N/A,#N/A,#N/A,9.37,2.77,3.7479999999999998,0.0,0.0,0.0
20,lure,3k,#N/A,#N/A,#N/A,9.0,3.91,3.6,0.0,1.0,0.0
21,lack,3k,1.0,0.0,10.0,8.28,2.49,3.312,0.0,5.0,9.0
22,risk,3k,1.0,0.0,10.0,7.58,2.14,3.032,1.0,5.0,15.0
23,void,3k,#N/A,#N/A,#N/A,10.56,2.59,4.224,0.0,0.0,0.0
24,rise,3k,8.0,2.079441542,7.73132013,6.72,2.85,2.6879999999999997,2.0,24.0,37.0
